iter	Passed	Remaining
433	1512	1972
434	1514	1967
435	1517	1962
436	1520	1958
437	1523	1954
438	1526	1950
439	1528	1945
440	1531	1941
441	1535	1937
442	1539	1935
443	1541	1930
444	1544	1926
445	1547	1921
446	1551	1919
447	1554	1915
448	1557	1911
449	1560	1907
450	1563	1903
451	1566	1899
452	1569	1895
453	1571	1890
454	1574	1885
455	1577	1881
456	1581	1878
457	1584	1875
458	1587	1870
459	1590	1867
460	1592	1862
461	1596	1858
462	1598	1854
463	1601	1849
464	1604	1845
465	1606	1841
466	1610	1837
467	1612	1833
468	1616	1830
469	1619	1825
470	1622	1822
471	1625	1818
472	1627	1813
473	1631	1810
474	1633	1805
475	1636	1801
476	1639	1797
477	1642	1793
478	1645	1789
479	1649	1786
480	1652	1783
481	1656	1780
482	1659	1775
483	1661	1771
484	1664	1767
485	1668	1764
486	1671	1760
487	1674	1756
488	1677	1753
489	1679	1748
490	1683	1744
491	1686	1741
492	1689	1737
493	1692	1733
494	1694	1729
495	1697	1725
496	1700	1721
497	1704	1717
498	1706	1713
499	1709	1709
500	1712	1705
501	1715	1701
502	1718	1697
503	1720	1693
504	1723	1689
505	1726	1685
506	1730	1682
507	1733	1678
508	1735	1674
509	1738	1670
510	1742	1667
511	1745	1663
512	1748	1660
513	1751	1655
514	1753	1651
515	1757	1648
516	1760	1644
517	1763	1641
518	1766	1636
519	1769	1633
520	1772	1629
521	1775	1625
522	1777	1621
523	1780	1617
524	1783	1613
525	1785	1609
526	1789	1605
527	1791	1601
528	1794	1597
529	1796	1592
530	1799	1589
531	1802	1585
532	1805	1582
533	1808	1578
534	1811	1574
535	1816	1572
536	1818	1568
537	1821	1563
538	1823	1559
539	1826	1555
540	1829	1551
541	1831	1547
542	1834	1544
543	1836	1539
544	1839	1535
545	1841	1531
546	1844	1527
547	1846	1523
548	1849	1519
549	1851	1515
550	1854	1510
551	1857	1507
552	1860	1503
553	1862	1499
554	1865	1495
555	1867	1491
556	1869	1487
557	1873	1483
558	1875	1479
559	1878	1475
560	1880	1471
561	1883	1467
562	1886	1464
563	1888	1460
564	1890	1455
565	1894	1452
566	1897	1449
567	1902	1446
568	1905	1443
569	1908	1440
570	1911	1436
571	1914	1432
572	1917	1428
573	1919	1424
574	1922	1420
575	1924	1416
576	1927	1412
577	1930	1409
578	1933	1405
579	1935	1401
580	1938	1397
581	1940	1393
582	1943	1389
583	1945	1385
584	1948	1382
585	1950	1378
586	1952	1374
587	1956	1370
588	1958	1366
589	1960	1362
590	1963	1358
591	1965	1354
592	1968	1351
593	1971	1347
594	1975	1344
595	1978	1341
596	1981	1337
597	1984	1333
598	1986	1330
599	1989	1326
600	1992	1323
601	1995	1319
602	1998	1315
603	2001	1312
604	2005	1309
605	2007	1305
606	2010	1302
607	2013	1298
608	2016	1294
609	2020	1291
610	2022	1287
611	2025	1283
612	2027	1280
613	2030	1276
614	2034	1273
615	2038	1270
616	2042	1267
617	2045	1264
618	2048	1260
619	2052	1258
620	2062	1258
621	2067	1256
622	2070	1253
623	2073	1249
624	2075	1245
625	2081	1243
626	2085	1240
627	2089	1237
628	2093	1234
629	2097	1231
630	2101	1228
631	2103	1225
632	2106	1221
633	2109	1217
634	2114	1215
635	2117	1211
636	2119	1207
637	2122	1204
638	2127	1201
639	2130	1198
640	2133	1194
641	2135	1190
642	2139	1187
643	2142	1184
644	2145	1180
645	2147	1176
646	2150	1173
647	2154	1170
648	2157	1166
649	2159	1162
650	2161	1158
651	2163	1154
652	2165	1150
653	2171	1148
654	2173	1144
655	2175	1140
656	2177	1136
657	2179	1133
658	2184	1130
659	2187	1126
660	2189	1123
661	2192	1119
662	2194	1115
663	2197	1112
664	2202	1109
665	2205	1105
666	2207	1102
667	2210	1098
668	2214	1095
669	2217	1092
670	2219	1088
671	2221	1084
672	2224	1080
673	2228	1077
674	2232	1074
675	2234	1070
676	2237	1067
677	2240	1064
678	2245	1061
679	2248	1058
680	2251	1054
681	2254	1051
682	2261	1049
683	2264	1046
684	2267	1042
685	2270	1039
686	2276	1037
687	2279	1033
688	2283	1030
689	2289	1028
690	2292	1025
691	2296	1022
692	2305	1021
693	2309	1018
694	2312	1014
695	2315	1011
696	2319	1008
697	2322	1004
698	2326	1001
699	2334	1000
700	2339	997
701	2342	994
702	2356	995
703	2359	992
704	2364	989
705	2366	985
706	2369	982
707	2375	979
708	2383	978
709	2387	975
710	2393	972
711	2397	969
712	2401	966
713	2407	964
714	2413	961
715	2416	958
716	2420	955
717	2425	952
718	2429	949
719	2434	946
720	2441	944
721	2445	941
722	2448	938
723	2454	935
724	2458	932
725	2461	928
726	2467	926
727	2471	923
728	2475	920
729	2478	916
730	2487	915
731	2490	911
732	2496	909
733	2502	906
734	2505	903
735	2509	900
736	2513	896
737	2517	893
738	2520	890
739	2524	886
740	2530	884
741	2534	881
742	2538	878
743	2544	875
744	2548	872
745	2552	869
746	2560	867
747	2564	863
748	2567	860
749	2574	858
750	2578	855
751	2582	851
752	2590	849
753	2593	846
754	2598	843
755	2605	840
756	2608	837
